model,problem type,pass@1,pass@5,pass@10,pass@20
deepseek-1.3b,dense_la,0.27599999999999997,0.44175225131680795,0.4985987007008787,0.5585713010708251
deepseek-1.3b,fft,0.0,0.0,0.0,0.0
deepseek-1.3b,geometry,0.0,0.0,0.0,0.0
deepseek-1.3b,graph,0.16400000000000003,0.3441880156317846,0.3876185176944055,0.3997075136157412
deepseek-1.3b,histogram,0.29200000000000004,0.6038990730427232,0.7040915448067544,0.7756156350891334
deepseek-1.3b,reduce,0.0040000000000000036,0.019999999999999997,0.039999999999999994,0.08
deepseek-1.3b,scan,0.0,0.0,0.0,0.0
deepseek-1.3b,search,0.392,0.4,0.4,0.4
deepseek-1.3b,sort,0.016000000000000014,0.07060790273556232,0.12063395570994354,0.17620060790273556
deepseek-1.3b,sparse_la,0.0,0.0,0.0,0.0
deepseek-1.3b,stencil,0.2720000000000001,0.7147153051785007,0.8757793712278336,0.9720873765475255
deepseek-1.3b,transform,0.776,0.9195123562838642,0.9713511657365874,0.997819646953739
,,,,,
gppd-hpc-cuda-coder-1.3b-base-full-datasets,dense_la,0.396,0.4,0.4,0.4
gppd-hpc-cuda-coder-1.3b-base-full-datasets,fft,0.008000000000000007,0.038367346938775505,0.07265306122448978,0.12897959183673469
gppd-hpc-cuda-coder-1.3b-base-full-datasets,geometry,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-full-datasets,graph,0.16,0.28438879344522267,0.33788738513104344,0.3865481696841549
gppd-hpc-cuda-coder-1.3b-base-full-datasets,histogram,0.38,0.586315580811418,0.5994150075279746,0.5999998724993966
gppd-hpc-cuda-coder-1.3b-base-full-datasets,reduce,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-full-datasets,scan,0.008000000000000007,0.039999999999999994,0.07999999999999999,0.16
gppd-hpc-cuda-coder-1.3b-base-full-datasets,search,0.4,0.4,0.4,0.4
gppd-hpc-cuda-coder-1.3b-base-full-datasets,sort,0.052000000000000005,0.15885357473239065,0.19321805484167492,0.19993250314209512
gppd-hpc-cuda-coder-1.3b-base-full-datasets,sparse_la,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-full-datasets,stencil,0.4200000000000001,0.8982662500707962,0.9875107332495455,0.9999320687542872
gppd-hpc-cuda-coder-1.3b-base-full-datasets,transform,0.792,0.8846702788423417,0.9378874435990863,0.9865481696841549
,,,,,
gppd-hpc-cuda-coder-1.3b-base-hpc-only,dense_la,0.396,0.42000000000000004,0.44000000000000006,0.48
gppd-hpc-cuda-coder-1.3b-base-hpc-only,fft,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-hpc-only,geometry,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-hpc-only,graph,0.08399999999999996,0.2065481696841549,0.2394150272314909,0.27999987249939656
gppd-hpc-cuda-coder-1.3b-base-hpc-only,histogram,0.524,0.6199544072948328,0.6399999997858312,0.6799999999999999
gppd-hpc-cuda-coder-1.3b-base-hpc-only,reduce,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-hpc-only,scan,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-hpc-only,search,0.4,0.4,0.4,0.4
gppd-hpc-cuda-coder-1.3b-base-hpc-only,sort,0.06000000000000005,0.16935641601691556,0.19642573160574758,0.19998621685784526
gppd-hpc-cuda-coder-1.3b-base-hpc-only,sparse_la,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-hpc-only,stencil,0.23600000000000007,0.5994864920991523,0.7430215436426406,0.8650535077045495
gppd-hpc-cuda-coder-1.3b-base-hpc-only,transform,0.776,0.7999994336309917,0.8,0.8
